id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,injection_rate,total_pulse_time,nominal_flow,flow_range,volt_ampere_profile,total_pulse_time2,shift
1,77550,2,1000,1350,20,40,,0,,,,,
2,77550,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
3,77550,4,1000,1350,20,40,60,810,38,70,,,
4,77550,5,1000,250,20,60,60,540,5.0,60,,,
5,77550,6,1000,1600,20,40,60,1200,92.5,15,,,
6,77550,10,1000,1200,20,40,60,600,42,30,,,
7,77550,11,1000,800,40,60,60,160,3.3,85,,,
8,77550,13,1000,250,20,40,60,540,7.2,50,,,
9,174697,2,1000,1350,20,40,,0,,,,,
10,174697,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
11,174697,4,1000,1350,20,40,60,810,35,70,,,
12,174697,5,1000,250,20,60,60,540,5.0,60,,,
13,174697,6,1000,1600,20,40,60,1200,74.6,15,,,
14,174697,10,1000,1200,20,40,60,600,37.3,30,,,
15,174697,11,1000,800,40,90,60,160,2.4,85,,,
16,174697,13,1000,250,20,40,60,540,6.9,50,,,
17,198090,2,1000,1350,20,40,,0,,,,,
18,198090,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
19,198090,4,1000,1350,20,40,60,710,28,70,,,
20,198090,5,1000,250,20,60,60,540,5.0,60,,,
21,198090,6,1000,1400,20,40,60,810,32,15,,,
22,198090,10,1000,800,20,40,60,560,19.0,30,,,
23,198090,11,1000,800,40,60,60,180,3.2,85,,,
24,198090,13,1000,250,20,40,60,540,6.3,50,,,
25,0984302,7,1000,1000,20,40,60,1000,100,100,,,
26,1346476,2,1000,1350,20,40,,0,,,,,
27,1346476,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
28,1346476,4,1000,1350,20,40,60,710,28,70,,,
29,1346476,5,1000,250,20,60,60,540,5.0,60,,,
30,1346476,6,1000,1400,20,40,60,810,32,15,,,
31,1346476,10,1000,800,20,40,60,560,19.0,30,,,
32,1346476,11,1000,800,40,60,60,180,3.2,85,,,
33,1346476,13,1000,250,20,40,60,540,6.3,50,,,
34,1348623,2,1000,1350,20,40,,0,,,,,
35,1348623,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
36,1348623,4,1000,1350,20,40,60,710,28,70,,,
37,1348623,5,1000,250,20,60,60,540,5.0,60,,,
38,1348623,6,1000,1400,20,40,60,810,32,15,,,
39,1348623,10,1000,800,20,40,60,560,19.0,30,,,
40,1348623,11,1000,800,40,60,60,180,3.2,85,,,
41,1348623,13,1000,250,20,40,60,540,6.3,50,,,
42,1355051,2,1000,1350,20,40,,0,,,,,
43,1355051,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
44,1355051,4,1000,1600,20,40,60,600,40,70,,,
45,1355051,5,1000,250,20,60,60,540,5.0,60,,,
46,1355051,6,1000,1600,20,40,60,900,47.4,15,,,
47,1355051,10,1000,1000,20,40,60,600,28,30,,,
48,1355051,11,1000,800,40,60,60,200,3.6,85,,,
49,1355051,13,1000,300,20,40,60,475,7.08,50,,,
50,1373549,2,1000,1350,20,40,,0,,,,,
51,1373549,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
52,1373549,4,1000,1350,20,40,60,810,38,70,,,
53,1373549,5,1000,250,20,60,60,540,5.0,60,,,
54,1373549,6,1000,1600,20,40,60,1200,66.8,15,,,
55,1373549,10,1000,1200,20,40,60,600,30.5,30,,,
56,1373549,11,1000,800,40,90,60,160,2.5,85,,,
57,1373549,13,1000,250,20,60,60,540,4.9,50,,,
58,1373550,2,1000,1350,20,40,,0,,,,,
59,1373550,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
60,1373550,4,1000,1350,20,40,60,810,38,70,,,
61,1373550,5,1000,250,20,60,60,540,5.0,60,,,
62,1373550,6,1000,1600,20,40,60,1200,66.8,15,,,
63,1373550,10,1000,1200,20,40,60,600,30.5,30,,,
64,1373550,11,1000,800,40,90,60,160,2.5,85,,,
65,1373550,13,1000,250,20,60,60,540,4.9,50,,,
66,1432322,2,1000,1350,20,40,,0,,,,,
67,1432322,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
68,1432322,4,1000,1600,20,40,60,600,40,70,,,
69,1432322,5,1000,250,20,60,60,540,5.0,60,,,
70,1432322,6,1000,1600,20,40,60,900,36.6,15,,,
71,1432322,10,1000,1000,20,40,60,600,22.5,30,,,
72,1432322,11,1000,800,40,60,60,200,3.9,85,,,
73,1432322,13,1000,300,20,40,60,475,6.7,50,,,
74,1451604,2,1000,1350,20,40,,0,,,,,
75,1451604,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
76,1451604,4,1000,1600,20,40,60,600,35,70,,,
77,1451604,5,1000,250,20,60,60,540,5.0,60,,,
78,1451604,6,1000,1600,20,40,60,900,50.8,15,,,
79,1451604,10,1000,1000,20,40,60,600,29.2,30,,,
80,1451604,11,1000,800,40,60,60,200,4.3,85,,,
81,1451604,13,1000,300,20,40,60,475,8.3,50,,,
82,1469709,2,1000,1350,20,40,,0,,,,,
83,1469709,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
84,1469709,4,1000,1350,20,40,60,710,28,70,,,
85,1469709,5,1000,250,20,60,60,540,5.0,60,,,
86,1469709,6,1000,1400,20,40,60,810,30.03,15,,,
87,1469709,10,1000,800,20,40,60,560,17.7,30,,,
88,1469709,11,1000,800,40,90,60,180,2.1,85,,,
89,1469709,13,1000,250,20,40,60,540,5.2,50,,,
90,1483820,2,1000,1350,20,40,,0,,,,,
91,1483820,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
92,1483820,4,1000,1350,20,40,60,810,38,70,,,
93,1483820,5,1000,250,20,60,60,540,5.0,60,,,
94,1483820,6,1000,1600,20,40,60,1200,66.8,15,,,
95,1483820,10,1000,1200,20,40,60,600,30.5,30,,,
96,1483820,11,1000,800,40,90,60,160,2.5,85,,,
97,1483820,13,1000,250,20,60,60,540,4.9,50,,,
98,1489400,2,1000,1350,20,40,,0,,,,,
99,1489400,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
100,1489400,4,1000,1600,20,40,60,600,35,70,,,
101,1489400,5,1000,250,20,60,60,540,5.0,60,,,
102,1489400,6,1000,1600,20,40,60,900,50.8,15,,,
103,1489400,10,1000,1000,20,40,60,600,29.2,30,,,
104,1489400,11,1000,800,40,60,60,200,4.3,85,,,
105,1489400,13,1000,300,20,40,60,475,8.3,50,,,
106,1489401,2,1000,1350,20,40,,0,,,,,
107,1489401,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
108,1489401,4,1000,1600,20,40,60,600,40,70,,,
109,1489401,5,1000,250,20,60,60,540,5.0,60,,,
110,1489401,6,1000,1600,20,40,60,900,54.84,15,,,
111,1489401,10,1000,1000,20,40,60,600,31.8,30,,,
112,1489401,11,1000,800,40,40,60,200,5.75,85,,,
113,1489401,13,1000,300,20,40,60,475,7.3,50,,,
114,1685796,2,1000,1350,20,40,,0,,,,,
115,1685796,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
116,1685796,4,1000,1350,20,40,60,810,30,70,,,
117,1685796,5,1000,250,20,60,60,540,5.0,60,,,
118,1685796,6,1000,1600,20,40,60,1200,65.8,15,,,
119,1685796,10,1000,1200,20,40,60,600,34.5,30,,,
120,1685796,11,1000,800,40,90,60,160,1.6,85,,,
121,1685796,13,1000,250,20,40,60,540,6.5,50,,,
122,1709667,2,1000,1350,20,40,,0,,,,,
123,1709667,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
124,1709667,4,1000,1350,20,40,60,810,30,70,,,
125,1709667,5,1000,250,20,60,60,540,5.0,60,,,
126,1709667,6,1000,1600,20,40,60,1200,65.8,15,,,
127,1709667,10,1000,1200,20,40,60,600,34.5,30,,,
128,1709667,11,1000,800,40,90,60,160,1.6,85,,,
129,1709667,13,1000,250,20,40,60,540,6.5,50,,,
130,1791017,2,1000,1350,20,40,,0,,,,,
131,1791017,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
132,1791017,4,1000,1350,20,40,60,810,30,70,,,
133,1791017,5,1000,250,20,60,60,540,5.0,60,,,
134,1791017,6,1000,1600,20,40,60,1200,65.8,15,,,
135,1791017,10,1000,1200,20,40,60,600,34.5,30,,,
136,1791017,11,1000,800,40,90,60,160,1.6,85,,,
137,1791017,13,1000,250,20,40,60,540,6.5,50,,,
138,1840747,2,1000,1350,20,40,,0,,,,,
139,1840747,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
140,1840747,4,1000,1350,20,40,60,810,35,70,,,
141,1840747,5,1000,250,20,60,60,540,5.0,60,,,
142,1840747,6,1000,1600,20,40,60,1200,74.6,15,,,
143,1840747,10,1000,1200,20,40,60,600,37.3,30,,,
144,1840747,11,1000,800,40,90,60,160,2.4,85,,,
145,1840747,13,1000,250,20,40,60,540,6.9,50,,,
146,2086663,7,1000,1000,20,40,60,1000,100,100,,,
147,2959130,2,1000,1350,20,40,,0,,,,,
148,2959130,3,1000,1350,20,40,60,1050,,,,,
149,2959130,4,1000,1350,20,40,60,1050,52,57.69,,,
150,2959130,6,1000,1350,20,40,60,1050,57.2,12,,,
151,2959130,10,1000,800,20,40,60,800,28,21.9,,,
152,2959130,11,1000,800,40,60,60,220,3.2,70,,,
153,2959130,13,1000,300,20,40,60,600,7,60,,,
154,3172300,2,1000,1350,20,40,,0,,,,,
