id,test_name,measurement,test_point,display_order
1,Back flow pressure levelling,VISUAL,FALSE,1
2,Static Leak,NO,FALSE,2
3,Air Cleaning,VISUAL,FALSE,4
4,Back Flow,BACK_FLOW,FALSE,6
5,Back Flow 2,BACK_FLOW,FALSE,7
6,Maximum Load,DELIVERY,FALSE,8
7,Emission Point,DELIVERY,FALSE,10
8,Emission Point 2,DELIVERY,FALSE,11
9,Emission Point 3,DELIVERY,FALSE,12
10,Part Load,DELIVERY,FALSE,14
11,Pre-injection,DELIVERY,FALSE,15
12,Pre-injection 2,DELIVERY,FALSE,16
13,Idle,DELIVERY,FALSE,18
14,Test Point 01,DELIVERY,TRUE,19
15,Test Point 02,DELIVERY,TRUE,20
16,Test Point 03,DELIVERY,TRUE,21
17,Test Point 04,DELIVERY,TRUE,22
18,Test Point 05,DELIVERY,TRUE,23
19,Test Point 06,DELIVERY,TRUE,24
20,Test Point 07,DELIVERY,TRUE,25
21,Test Point 08,DELIVERY,TRUE,26
22,Test Point 09,DELIVERY,TRUE,27
23,Test Point 10,DELIVERY,TRUE,28
24,Test Point 11,DELIVERY,TRUE,29
25,Test Point 12,DELIVERY,TRUE,30
26,Test Point 13,DELIVERY,TRUE,31
27,Test Point 14,DELIVERY,TRUE,32
28,Test Point 15,DELIVERY,TRUE,33
29,Emission Point 4,DELIVERY,FALSE,13
30,ISA Detection,DELIVERY,FALSE,5
31,Static Leak 2,NO,FALSE,3
32,Maximum Load 2,DELIVERY,FALSE,9
33,Pre-injection 3,DELIVERY,FALSE,17
